office_name	longitude	latitude	streetname	streetnum	city	zipcode
San Antonio	-98.361008000000	29.471796000000	HIGHLAND FARM	4803	San Antonio	78244
Atlanta	-84.158333000000	33.733490000000	Saint Thomas	5645	Lithonia	30058
Fort Worth	-97.430404663086	32.741016387939	Granada	1816	Fort Worth	76116
Dallas	-96.869408000000	32.887173000000	Camelot	3219	Dallas	75229
Dallas	-96.763863000000	32.945992000000	Dublin	608	Richardson	75080
Los Angeles	-118.374565000000	34.139137000000	SUNSHINE	11268	Studio City	91604
Fort Worth	-97.411377000000	32.735302000000	Littlepage	2517	Fort Worth	76107
Los Angeles	-117.343055000000	33.636249000000	Tetterington	33100	Lake Elsinore	92530
Atlanta	-84.173950195312	33.729221343994	Scarborough	2106	Stone Mountain	30088
Houston Central	-95.571587000000	29.946314000000	Mill Trail	11802	Houston	77070
Philadelphia	0.000000000000	0.000000000000	MELROSE	124	LANSDOWNE	19050
Los Angeles	-117.820625000000	33.640224000000	Bethany	13	Irvine	92603
Houston Central	-95.506446838379	29.823181152344	greiner rd	8710	houston	77080
Houston Central	-95.470764000000	29.825525000000	Poinciana	5319	Houston	77092
Fort Worth	-97.358609000000	32.671526000000	Covert	2817	Fort Worth	76133
Houston Central	-95.653580000000	29.695372000000	Gran Vista	15122	Houston	77083
Atlanta	-84.332237243652	33.716098785400	ROLLINGWOOD	2728	Atlanta	30316
Atlanta	-84.599250793457	33.799293518066	Jacqueline Cir	1520	Austell	30168
Fort Worth	-97.233131000000	32.829094000000	Briley	6903	North Richland Hills	76180
Philadelphia	-75.192199707031	40.012107849121	NEW QUEEN	3547	PHILADELPHIA	19129
Fort Worth	-97.380859375000	32.728759765625	Donnelly	4205	Fort Worth	76107
Dallas	-96.895424000000	32.667351000000	Caravan	1135	Duncanville	75116
Dallas	-96.701339000000	32.881782000000	Mapleridge	10632	Dallas	75238
Fort Worth	-97.364082000000	32.656937000000	Wayland	3309	Fort Worth	76133
Fort Worth	-97.284866000000	32.804279000000	Eastridge	3400	Haltom City	76117
Fort Worth	-97.344154000000	32.709167000000	8th	2904	Fort Worth	76110
Fort Worth	-96.615730000000	32.871780000000	Colonial	634	Garland	75043
Atlanta	-84.486831000000	33.636325900000	Yates	4383	College Park	30337
Dallas	-96.652473000000	33.108486000000	Lake Highlands	708	Allen	75002
Dallas	-96.879234000000	32.979763000000	El Dorado	2139	Carrollton	75006
Fort Worth	-97.263618000000	32.803848000000	Ezell	5613	Haltom City	76117
Houston Central	-95.189842000000	29.539778000000	Edenvale	15619	Friendswood	77546
Fort Worth	-97.179443000000	32.708031000000	Ramsgate	4606	Arlington	76013
